PSTAT_START
name= test3, pid= 4
start= 4791, duration= 0, priority= 0
start= 4792, duration= 0, priority= 0
start= 4793, duration= 0, priority= 0
start= 4794, duration= 0, priority= 0
start= 4795, duration= 0, priority= 0
start= 4796, duration= 0, priority= 0
start= 4797, duration= 0, priority= 0
start= 4798, duration= 0, priority= 0
start= 4799, duration= 0, priority= 0
start= 4800, duration= 0, priority= 0
start= 4801, duration= 0, priority= 0
start= 4802, duration= 0, priority= 0
start= 4803, duration= 0, priority= 0
start= 4804, duration= 0, priority= 0
start= 4805, duration= 0, priority= 0
start= 4806, duration= 0, priority= 0
start= 4807, duration= 0, priority= 0
start= 4808, duration= 0, priority= 0
start= 4809, duration= 0, priority= 0
start= 4810, duration= 0, priority= 0
start= 4811, duration= 0, priority= 0
start= 4812, duration= 0, priority= 0
start= 4813, duration= 0, priority= 0
start= 4814, duration= 0, priority= 0
start= 4815, duration= 0, priority= 0
start= 4816, duration= 0, priority= 0
start= 4817, duration= 0, priority= 0
start= 4818, duration= 0, priority= 0
start= 4819, duration= 0, priority= 0
start= 4820, duration= 0, priority= 0
start= 4821, duration= 0, priority= 0
start= 4822, duration= 0, priority= 0
start= 4823, duration= 0, priority= 0
start= 4824, duration= 0, priority= 0
start= 4825, duration= 0, priority= 0
start= 4826, duration= 0, priority= 0
start= 4827, duration= 0, priority= 0
start= 4828, duration= 0, priority= 0
start= 4829, duration= 0, priority= 0
start= 4830, duration= 0, priority= 0
start= 4831, duration= 0, priority= 0
start= 4832, duration= 0, priority= 0
start= 4833, duration= 0, priority= 0
start= 4834, duration= 0, priority= 0
start= 4835, duration= 0, priority= 0
start= 4836, duration= 0, priority= 0
start= 4837, duration= 0, priority= 0
start= 4838, duration= 0, priority= 0
start= 4839, duration= 0, priority= 0
start= 4840, duration= 0, priority= 0
start= 4841, duration= 0, priority= 0
start= 4842, duration= 0, priority= 0
start= 4843, duration= 0, priority= 0
start= 4844, duration= 0, priority= 0
start= 4845, duration= 0, priority= 0
start= 4846, duration= 0, priority= 0
start= 4847, duration= 0, priority= 0
start= 4848, duration= 0, priority= 0
start= 4849, duration= 0, priority= 0
start= 4850, duration= 0, priority= 0
start= 4851, duration= 0, priority= 0
start= 4852, duration= 0, priority= 0
start= 4853, duration= 0, priority= 0
start= 4854, duration= 0, priority= 0
start= 4855, duration= 0, priority= 0
start= 4856, duration= 0, priority= 0
start= 4857, duration= 0, priority= 0
start= 4858, duration= 0, priority= 0
start= 4859, duration= 0, priority= 0
start= 4860, duration= 0, priority= 0
start= 4861, duration= 0, priority= 0
start= 4862, duration= 0, priority= 0
start= 4863, duration= 0, priority= 0
start= 4864, duration= 0, priority= 0
start= 4865, duration= 0, priority= 0
start= 4866, duration= 0, priority= 0
start= 4867, duration= 0, priority= 0
start= 4868, duration= 0, priority= 0
start= 4869, duration= 0, priority= 0
start= 4870, duration= 0, priority= 0
start= 4871, duration= 0, priority= 0
start= 4874, duration= 0, priority= 0
start= 4875, duration= 0, priority= 0
start= 4876, duration= 0, priority= 0
start= 4877, duration= 0, priority= 0
start= 4878, duration= 0, priority= 0
start= 4879, duration= 0, priority= 0
start= 4880, duration= 0, priority= 0
start= 4881, duration= 0, priority= 0
start= 4882, duration= 0, priority= 0
start= 4883, duration= 0, priority= 0
start= 4884, duration= 0, priority= 0
start= 4885, duration= 0, priority= 0
start= 4886, duration= 0, priority= 0
start= 4887, duration= 0, priority= 0
start= 4888, duration= 0, priority= 0
start= 4889, duration= 0, priority= 0
start= 4890, duration= 0, priority= 0
start= 4891, duration= 0, priority= 0
start= 4892, duration= 0, priority= 0
start= 4893, duration= 0, priority= 0
start= 4894, duration= 0, priority= 0
start= 4895, duration= 0, priority= 0
start= 4896, duration= 0, priority= 0
start= 4897, duration= 0, priority= 0
start= 4898, duration= 0, priority= 0
start= 4899, duration= 0, priority= 0
start= 4900, duration= 0, priority= 0
start= 4901, duration= 0, priority= 0
start= 4902, duration= 0, priority= 0
start= 4903, duration= 0, priority= 0
start= 4904, duration= 0, priority= 0
start= 4905, duration= 0, priority= 0
start= 4906, duration= 0, priority= 0
start= 4907, duration= 0, priority= 0
start= 4908, duration= 0, priority= 0
start= 4909, duration= 0, priority= 0
start= 4910, duration= 0, priority= 0
start= 4911, duration= 0, priority= 0
start= 4912, duration= 0, priority= 0
start= 4913, duration= 0, priority= 0
start= 4914, duration= 0, priority= 0
start= 4915, duration= 0, priority= 0
start= 4916, duration= 0, priority= 0
start= 4917, duration= 0, priority= 0
start= 4918, duration= 0, priority= 0
start= 4919, duration= 0, priority= 0
start= 4920, duration= 0, priority= 0
start= 4921, duration= 0, priority= 0
start= 4922, duration= 0, priority= 0
start= 4923, duration= 0, priority= 0
start= 4924, duration= 0, priority= 0
start= 4925, duration= 0, priority= 0
start= 4926, duration= 0, priority= 0
start= 4927, duration= 0, priority= 0
start= 4928, duration= 0, priority= 0
start= 4929, duration= 1, priority= 0
start= 4931, duration= 0, priority= 1
start= 4932, duration= 0, priority= 1
start= 4933, duration= 0, priority= 1
start= 4934, duration= 0, priority= 1
start= 4935, duration= 0, priority= 1
start= 4936, duration= 0, priority= 1
start= 4937, duration= 0, priority= 1
start= 4938, duration= 0, priority= 1
start= 4939, duration= 0, priority= 1
start= 4940, duration= 0, priority= 1
start= 4941, duration= 0, priority= 1
start= 4942, duration= 0, priority= 1
start= 4943, duration= 0, priority= 1
start= 4944, duration= 0, priority= 1
start= 4945, duration= 0, priority= 1
start= 4946, duration= 0, priority= 1
start= 4947, duration= 0, priority= 1
start= 4948, duration= 0, priority= 1
start= 4949, duration= 0, priority= 1
start= 4950, duration= 0, priority= 1
start= 4951, duration= 0, priority= 1
start= 4952, duration= 0, priority= 1
start= 4953, duration= 0, priority= 1
start= 4954, duration= 0, priority= 1
start= 4955, duration= 0, priority= 1
start= 4956, duration= 0, priority= 1
start= 4957, duration= 0, priority= 1
start= 4958, duration= 0, priority= 1
start= 4959, duration= 0, priority= 1
start= 4960, duration= 0, priority= 1
start= 4961, duration= 0, priority= 1
start= 4962, duration= 0, priority= 1
start= 4963, duration= 0, priority= 1
start= 4964, duration= 0, priority= 1
start= 4965, duration= 0, priority= 1
start= 4966, duration= 0, priority= 1
start= 4967, duration= 0, priority= 1
start= 4968, duration= 0, priority= 1
start= 4969, duration= 0, priority= 1
start= 4970, duration= 0, priority= 1
start= 4971, duration= 0, priority= 1
start= 4972, duration= 0, priority= 1
start= 4973, duration= 0, priority= 1
start= 4974, duration= 0, priority= 1
start= 4975, duration= 0, priority= 1
start= 4976, duration= 0, priority= 1
start= 4977, duration= 0, priority= 1
start= 4978, duration= 0, priority= 1
start= 4979, duration= 0, priority= 1
start= 4980, duration= 0, priority= 1
start= 4981, duration= 0, priority= 1
start= 4982, duration= 0, priority= 1
start= 4983, duration= 0, priority= 1
start= 4984, duration= 0, priority= 1
start= 4985, duration= 0, priority= 1
start= 4986, duration= 0, priority= 1
start= 4987, duration= 0, priority= 1
start= 4988, duration= 0, priority= 1
start= 4989, duration= 0, priority= 1
start= 4990, duration= 0, priority= 1
start= 4991, duration= 0, priority= 1
start= 4992, duration= 0, priority= 1
start= 4993, duration= 0, priority= 1
start= 4994, duration= 0, priority= 1
start= 4995, duration= 0, priority= 1
start= 4996, duration= 0, priority= 1
start= 4997, duration= 0, priority= 1
start= 4998, duration= 0, priority= 1
start= 4999, duration= 0, priority= 1
start= 5000, duration= 0, priority= 1
start= 5001, duration= 0, priority= 1
start= 5002, duration= 0, priority= 1
start= 5003, duration= 0, priority= 1
start= 5004, duration= 0, priority= 1
start= 5005, duration= 0, priority= 1
start= 5006, duration= 0, priority= 1
start= 5007, duration= 0, priority= 1
start= 5008, duration= 0, priority= 1
start= 5009, duration= 0, priority= 1
start= 5010, duration= 0, priority= 1
start= 5011, duration= 0, priority= 1
start= 5012, duration= 0, priority= 1
start= 5013, duration= 0, priority= 1
start= 5014, duration= 0, priority= 1
start= 5015, duration= 0, priority= 1
start= 5016, duration= 0, priority= 1
start= 5017, duration= 0, priority= 1
start= 5018, duration= 0, priority= 1
start= 5019, duration= 0, priority= 1
start= 5021, duration= 0, priority= 1
start= 5022, duration= 0, priority= 1
start= 5023, duration= 0, priority= 1
start= 5024, duration= 0, priority= 1
start= 5025, duration= 0, priority= 1
start= 5026, duration= 0, priority= 1
start= 5027, duration= 0, priority= 1
start= 5028, duration= 0, priority= 1
start= 5029, duration= 0, priority= 1
start= 5030, duration= 0, priority= 1
start= 5031, duration= 0, priority= 1
start= 5032, duration= 0, priority= 1
start= 5033, duration= 0, priority= 1
start= 5034, duration= 0, priority= 1
start= 5035, duration= 0, priority= 1
start= 5036, duration= 0, priority= 1
start= 5037, duration= 0, priority= 1
start= 5038, duration= 0, priority= 1
start= 5039, duration= 0, priority= 1
start= 5040, duration= 0, priority= 1
start= 5041, duration= 0, priority= 1
start= 5042, duration= 0, priority= 1
start= 5043, duration= 0, priority= 1
start= 5044, duration= 0, priority= 1
start= 5045, duration= 0, priority= 1
start= 5046, duration= 0, priority= 1
start= 5047, duration= 0, priority= 1
start= 5048, duration= 0, priority= 1
start= 5049, duration= 0, priority= 1
start= 5050, duration= 0, priority= 1
start= 5051, duration= 0, priority= 1
start= 5052, duration= 0, priority= 1
start= 5053, duration= 0, priority= 1
start= 5054, duration= 0, priority= 1
start= 5055, duration= 0, priority= 1
start= 5056, duration= 0, priority= 1
start= 5057, duration= 0, priority= 1
start= 5058, duration= 0, priority= 1
start= 5059, duration= 0, priority= 1
start= 5060, duration= 0, priority= 1
start= 5061, duration= 0, priority= 1
start= 5062, duration= 0, priority= 1
start= 5063, duration= 0, priority= 1
start= 5064, duration= 0, priority= 1
start= 5065, duration= 0, priority= 1
start= 5066, duration= 0, priority= 1
start= 5067, duration= 0, priority= 1
start= 5068, duration= 0, priority= 1
start= 5069, duration= 0, priority= 1
start= 5070, duration= 0, priority= 1
start= 5071, duration= 0, priority= 1
start= 5072, duration= 0, priority= 1
start= 5073, duration= 0, priority= 1
start= 5074, duration= 0, priority= 1
start= 5075, duration= 0, priority= 1
start= 5076, duration= 0, priority= 1
start= 5077, duration= 0, priority= 1
start= 5078, duration= 0, priority= 1
start= 5079, duration= 0, priority= 1
start= 5080, duration= 0, priority= 1
start= 5081, duration= 0, priority= 1
start= 5082, duration= 0, priority= 1
start= 5083, duration= 0, priority= 1
start= 5084, duration= 0, priority= 1
start= 5085, duration= 0, priority= 1
start= 5086, duration= 0, priority= 1
start= 5087, duration= 0, priority= 1
start= 5088, duration= 0, priority= 1
start= 5089, duration= 0, priority= 1
start= 5090, duration= 0, priority= 1
start= 5091, duration= 0, priority= 1
start= 5092, duration= 0, priority= 1
start= 5093, duration= 0, priority= 1
start= 5094, duration= 0, priority= 1
start= 5095, duration= 0, priority= 1
start= 5096, duration= 0, priority= 1
start= 5097, duration= 0, priority= 1
start= 5098, duration= 0, priority= 1
start= 5099, duration= 0, priority= 1
start= 5100, duration= 0, priority= 1
start= 5101, duration= 0, priority= 1
start= 5102, duration= 0, priority= 1
start= 5103, duration= 0, priority= 1
start= 5104, duration= 0, priority= 1
start= 5105, duration= 0, priority= 1
start= 5106, duration= 0, priority= 1
start= 5107, duration= 0, priority= 1
start= 5108, duration= 0, priority= 1
start= 5109, duration= 0, priority= 1
start= 5110, duration= 0, priority= 1
start= 5111, duration= 0, priority= 1
start= 5112, duration= 0, priority= 1
start= 5113, duration= 0, priority= 1
start= 5114, duration= 0, priority= 1
start= 5115, duration= 0, priority= 1
start= 5116, duration= 0, priority= 1
start= 5117, duration= 0, priority= 1
start= 5118, duration= 0, priority= 1
start= 5119, duration= 0, priority= 1
start= 5120, duration= 0, priority= 1
start= 5121, duration= 0, priority= 1
start= 5122, duration= 0, priority= 1
start= 5123, duration= 0, priority= 1
start= 5124, duration= 0, priority= 1
start= 5125, duration= 0, priority= 1
start= 5126, duration= 0, priority= 1
start= 5127, duration= 0, priority= 1
start= 5128, duration= 0, priority= 1
start= 5129, duration= 0, priority= 1
start= 5130, duration= 0, priority= 1
start= 5131, duration= 0, priority= 1
start= 5132, duration= 0, priority= 1
start= 5133, duration= 0, priority= 1
start= 5134, duration= 0, priority= 1
start= 5135, duration= 0, priority= 1
start= 5136, duration= 0, priority= 1
start= 5137, duration= 0, priority= 1
start= 5138, duration= 0, priority= 1
start= 5139, duration= 0, priority= 1
start= 5140, duration= 0, priority= 1
start= 5141, duration= 0, priority= 1
start= 5142, duration= 0, priority= 1
start= 5143, duration= 0, priority= 1
start= 5144, duration= 0, priority= 1
start= 5145, duration= 0, priority= 1
start= 5146, duration= 0, priority= 1
start= 5147, duration= 0, priority= 1
start= 5148, duration= 0, priority= 1
start= 5149, duration= 0, priority= 1
start= 5150, duration= 0, priority= 1
start= 5151, duration= 0, priority= 1
start= 5152, duration= 0, priority= 1
start= 5153, duration= 0, priority= 1
start= 5154, duration= 0, priority= 1
start= 5155, duration= 0, priority= 1
start= 5156, duration= 0, priority= 1
start= 5157, duration= 0, priority= 1
start= 5158, duration= 0, priority= 1
start= 5159, duration= 0, priority= 1
start= 5160, duration= 0, priority= 1
start= 5161, duration= 0, priority= 1
start= 5162, duration= 0, priority= 1
start= 5163, duration= 0, priority= 1
start= 5164, duration= 0, priority= 1
start= 5165, duration= 0, priority= 1
start= 5166, duration= 0, priority= 1
start= 5167, duration= 0, priority= 1
start= 5168, duration= 0, priority= 1
start= 5169, duration= 0, priority= 1
start= 5170, duration= 0, priority= 1
start= 5171, duration= 0, priority= 1
start= 5172, duration= 0, priority= 1
start= 5173, duration= 0, priority= 1
start= 5174, duration= 0, priority= 1
start= 5175, duration= 0, priority= 1
start= 5176, duration= 0, priority= 1
start= 5177, duration= 0, priority= 1
start= 5178, duration= 0, priority= 1
start= 5179, duration= 0, priority= 1
start= 5180, duration= 0, priority= 1
start= 5181, duration= 0, priority= 1
start= 5182, duration= 0, priority= 1
start= 5183, duration= 0, priority= 1
start= 5184, duration= 0, priority= 1
start= 5185, duration= 0, priority= 1
start= 5186, duration= 0, priority= 1
start= 5187, duration= 0, priority= 1
start= 5188, duration= 0, priority= 1
start= 5189, duration= 0, priority= 1
start= 5190, duration= 0, priority= 1
start= 5191, duration= 0, priority= 1
start= 5192, duration= 0, priority= 1
start= 5193, duration= 0, priority= 1
start= 5194, duration= 0, priority= 1
start= 5195, duration= 0, priority= 1
PSTAT_END
PSTAT_START
name= test3, pid= 3
start= 191, duration= 0, priority= 0
start= 191, duration= 1, priority= 0
start= 192, duration= 0, priority= 1
start= 192, duration= 0, priority= 1
start= 192, duration= 0, priority= 1
start= 192, duration= 0, priority= 1
start= 192, duration= 0, priority= 1
start= 193, duration= 0, priority= 1
PSTAT_END
